,Video Title,Video ID,View Count,Duration,Description,Channel Title,Published Date,Trending Until
77,dScience Lunch Seminar: Large language models under the hood,NNQ_pWvNjAw,0,P0D,"Welcome to our dScience lunch seminar in the Science Library, where Andrey Kutuzov will talk about ChatGPT.

In the last few years, radical increase in the scale of deep neural language models (both in terms of the size of the training data and the size of the models themselves) has led to impressive achievements in various natural language processing tasks. ""Celebrity"" models, like ChatGPT, LLaMa, BLOOM or PaLM are already sometimes described to as ""approaching artificial intelligence"", although the reality can differ from over-hyped media coverage.

In this talk, Kutuzov will describe the foundations of the technology behind large-scale language models. Two most important components behind their success are 1) state-of-the-art deep learning architectures (in particular, Transformer) and 2) the availability of tremendous amount of textual data used to train such models. The interaction of these two poses intricate theoretical and practical questions, also linked to issues with unequal distribution of computing resources. Do we have enough good-quality training data for languages other than English? Is ""data poisoning"" with automatically generated texts is a real danger? Why is it important to open source both training data and model weights?

Speaker
Andrey Kutuzov (PhD, UiO, 2020) is an Associate Professor in the Language Technology Group at the University of Oslo. He currently serves as the Norwegian on-site manager of the High-Performance Language Technology (HPLT) project. His academic interests include Computational linguistics and natural language processing, semantic change detection and diachronically aware language models, distributional semantics, machine learning and large-scale language models. In 2022, Kutuzov received the Norwegian Artificial Intelligence Research Consortium (NORA) award as a Distinguished Early Career Researcher.

https://www.uio.no/dscience/english/news-and-events/events/23-ls-sep7.html",UiO Realfagsbiblioteket,2023-08-29T10:55:24Z,2023-09-06T11:45:19Z
78,Multimodal Chain of Thought Reasoning in Language Models,bv7nzVVQwTo,100,9:47,"Large language models (LLMs) have shown impressive performance on complex reasoning by leveraging chain-of-thought (CoT) prompting to generate intermediate reasoning chains as the rationale to infer the answer. However, existing CoT studies have focused on the language modality. Multimodal-CoT incorporates language and vision modalities into a two-stage framework that separates rationale generation and answer inference. Mutimodal-CoT-Large outperforms GPT-3.5 by 16.51% on ScienceQA. 

In this video, I will talk about What is multimodal CoT and How does multimodal CoT perform on ScienceQA.

For more details, please look at https://arxiv.org/pdf/2302.00923.pdf

Zhang, Zhuosheng, Aston Zhang, Mu Li, Hai Zhao, George Karypis, and Alex Smola. ""Multimodal chain-of-thought reasoning in language models."" arXiv preprint arXiv:2302.00923 (2023).",Data Science Gems,2023-08-29T04:20:18Z,2023-09-06T11:45:19Z
79,Jian Ma | Large Language Models for Computational Biology  A Primer,tRTVxlakJCw,426,49:26,,Computational Genomics Summer Institute CGSI,2023-08-29T01:10:06Z,2023-09-06T11:45:19Z
80,Create a Large Language Model using Python,4MHzI10iVbQ,61,23:16,"Welcome to this Python tutorial on creating your own Language Model using PyTorch! Have you ever wondered how your smartphone predicts the next word as you type? This video will walk you through each step of the process to develop a simplified version of this technology.

Links: 
- Pytorch: https://pytorch.org/docs/stable/index...
- Github: https://github.com/rishabh4497/aiModel/blob/main/llm.py
- Attention is All You Need paper: https://arxiv.org/abs/1706.03762
- My Twitter: https://twitter.com/_rishavchhabra

Chapters:
00:00 Introduction
00:20 Setting Up the Environment and Understanding Language Models
06:34 Preparing and Preprocessing data
11:54 Creating Hyperparameters
13:50 Training the Model: Making it Smarter
19:48 Testing: Let's Predict Some Text!

In this video, we cover:

Setting up a Python environment for machine learning
What a Language Model is and how it works
How to prepare your data for the model
How to define and train the model in PyTorch
How to test your model to predict the next word in a sentence
Perfect for anyone interested in machine learning, natural language processing, or just curious about how text prediction works.

#PyTorch #NaturalLanguageProcessing #LanguageModel #MachineLearning #TextPrediction #PythonProgramming #DeepLearning #ArtificialIntelligence #DataScience #CodingTutorial

Thanks for watching.",Rishav Chhabra,2023-08-28T21:24:48Z,2023-09-06T11:45:19Z
81,New AI - Code Llama - Broke the Internet: Why Everyone&#39;s Switching from GPT-4,_OaIJLMbIwU,21246,8:29,"Meta's new AI, Code Llama, is a revolutionary tool designed for coding tasks, surpassing competitors like ChatGPT and GitHub Copilot Chat. With unique features like fill-in-the-middle, it aids coders in generating and understanding code, and is available for free on Perplexity AI Labs and HuggingFace. Explore the capabilities of Code Llama and anticipate its upcoming version, Unnatural Code Llama, for a versatile coding experience.

Become a Member of the channel and Supporter of AI Revolution → https://www.youtube.com/channel/UC5l7RouTQ60oUjLjt1Nh-UQ/join

#codellama #ai",AI Revolution,2023-08-28T21:22:25Z,2023-09-06T11:45:19Z
82,Bradley Love | Advancing Neuroscience Using Large Language Models,7G4gR8LfI04,523,50:23,"*Apply to join Foresight Neurotech program:* https://foresight.org/neurotech-improving-cognition-program/ 
A group of neuroscience researchers, entrepreneurs, and allies advancing beneficial short-term and long-term neurotechnology applications.

*Bradley Love, UCL*
*Advancing Neuroscience Using Large Language Models*
Bradley is a Professor of Cognitive and Decision Sciences in Experimental Psychology at UCL and a fellow at The Alan Turing Institute for data science and AI, as well as the European Lab for Learning & Intelligent Systems (ELLIS). His lab's research centers around human learning and decision making, integrating behavioural, computational, and neuroscience perspectives. Currently, they are focused on large-scale modelling of brain and behaviour using deep learning approaches, as well as using large language models to create BrainGPT, a tool to assist neuroscience researchers.
https://bradlove.org/

══════════════════════════════════════

*About The Foresight Institute*

The Foresight Institute is a research organization and non-profit that supports the beneficial development of high-impact technologies. Since our founding in 1986 on a vision of guiding powerful technologies, we have continued to evolve into a many-armed organization that focuses on several fields of science and technology that are too ambitious for legacy institutions to support. From molecular nanotechnology, to brain-computer interfaces, space exploration, cryptocommerce, and AI, Foresight gathers leading minds to advance research and accelerate progress toward flourishing futures.

*We are entirely funded by your donations. If you enjoy what we do please consider donating through our donation page:* https://foresight.org/donate/

*Visit* https://foresight.org, *subscribe to our channel for more videos or join us here:*
*• Twitter:* https://twitter.com/foresightinst 
*• Facebook:* https://www.facebook.com/foresightinst 
*• LinkedIn:* https://www.linkedin.com/company/foresight-institute",Foresight Institute,2023-08-28T20:51:15Z,2023-09-06T11:45:19Z
83,Unleashing the Power of Large Language Models for Exciting Tech Innovations,VH8Od4UjrFk,22,53,,Apoorva Pande at FocusedFounder,2023-08-28T20:00:08Z,2023-09-06T11:45:19Z
84,"Exploring Neural Networks, LLMs, and GPTs | Web Development with Generative AI Ep4",Ox2QrrCOgyg,1147,9:41,"In this episode, @heyAustinGil takes a break from coding to get a better understanding of how AI tools work. Austin briefly covers machine learning, neural networks, large language models (LLMs), parameters, embeddings, and generative pre-trained models (GPTs).

New to Cloud Computing? Get started here with a $100 credit → https://www.linode.com/lp/youtube-viewers/?ifso=linodetube&utm_source=youtube&utm_medium=SuperUser

Chapters:
0:00 Inroduction
0:30 Brief Recap
1:00 What is AI? 
1:35 About Artificial Neural Networks
2:00 About Large Language Models
3:35 About Embeddings
5:00 About GPT
8:27 Conclusion

Follow along with Austin's GitHub → https://github.com/AustinGil/versus
Check out Qwik.js docs→ https://qwik.builder.io/docs/
See OpenAI Docs → https://platform.openai.com/overview
Learn more about Fetch API → https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API
Subscribe to get notified of new episodes as they come out → https://www.youtube.com/linode?sub_confirmation=1

#AkamaiDeveloper #openai #qwikjs #nodejs 
Product: Akamai Developer, Open AI, Qwik.js, ChatGPT; @heyAustinGil​",Akamai Developer,2023-08-28T19:00:16Z,2023-09-06T11:45:19Z
85,AI - Mastering Large Language Models (LLMs) under 15 mins: A Comprehensive Guide,Z6htN7lbQfk,159,15:6,"In this video, I'm going to show you how to master LLM (Language Learning Module) machine learning models in just 15 minutes.

If you're new to machine learning or want to quickly improve your skills, this comprehensive guide is for you. I'll explain everything from the basics of machine learning to more advanced techniques, so you can learn how to build powerful models in no time!",Acemapper,2023-08-28T17:57:35Z,2023-09-06T11:45:19Z
86,An Introduction to Large Language Models and Chat GPT4,-eBtOAgPQUI,19,1:1:19,"Hosted by: 
Shawn Patt, CPWA®
Michael Salam
Daniel Leibman

Sponsored By:
Atala Financial: Leaders in Personal Wealth Management
Wonderworks: Innovators in Tech Education

About This Video:
Get ready to dive deep into the world of Large Language Models and Chat GPT-4. Perfect for tech enthusiasts, business professionals, and AI aficionados. We'll cover everything from how these algorithms work, their practical use cases, to the limitations you should be aware of.

What You'll Learn:
How Algorithms Power Language Models: Get an insider look at the technology behind Large Language Models like Chat GPT-4.

Use Cases in Business & Personal Projects: Learn how these language models are transforming industries from customer service to content creation.

Limitations & Weaknesses: We discuss the challenges and pitfalls you should be mindful of when using these powerful tools.

Effective Usage Tips for Chat GPT-4: End with actionable strategies to make the most out of your interaction with Chat GPT-4.

If this video provides value to you, please give it a LIKE, drop a  COMMENT, and SHARE. Remember to SUBSCRIBE and ring the bell for updates on new content!",Mind Your Own Money,2023-08-28T14:45:10Z,2023-09-06T11:45:19Z
87,Unlocking AI Language Models for Data Management - Eckerson Group Webinar,8jMQBPxUzkw,61,49:53,"While nobody can predict the overall future of generative AI, the business case for AI-driven data management is becoming clear. Most early adopters estimate that large language models such as ChatGPT and Bard make them up to 30% more productive, and new domain-specific tools from data pipeline vendors aim to beat these gains. Data teams use language models to document their environments, build pipeline code, run data quality checks, learn new techniques, and more. 

But chief data officers and business leaders must tread with caution. They must understand new risks for data quality, privacy, intellectual property, fairness, and explainability. They must adapt their data governance programs to control these risks, train their teams on prompt engineering, and give careful thought to evolving team responsibilities. By adopting these guiding principles, CDOs and business leaders can democratize business  consumption of data for analytics--unleashing unprecedented productivity gains.

You will learn:
-The definition of generative AI and language models
-The business benefits and costs of applying language models to data management
-Guiding principles for successful adoption and bottom-line results

Sponsor: TimeXtender",Eckerson Group,2023-08-28T14:22:51Z,2023-09-06T11:45:19Z
88,"1. What is LLM? LLM Types, LLM Benefits, LLM Challenges",LNmqrkvam5g,136,17:,"Here you go, we have started the Large Language Models series here. In this session we have discussed the LLM basics, definition, types, benefits, challenges and more!",Shriram Vasudevan,2023-08-28T14:15:12Z,2023-09-06T11:45:19Z
89,LLMs as compilers,vxprc7n_RL8,623,7:12,"https://vivekhaldar.com/articles/llms-are-compilers/

Large Language Models: Compilers for the 4th Generation of Programming Languages?
https://drops.dagstuhl.de/opus/volltexte/2023/18524/pdf/OASIcs-SLATE-2023-10.pdf


What is it like to program with artificial intelligence?
https://arxiv.org/pdf/2208.06213.pdf",Vivek Haldar,2023-08-28T14:00:29Z,2023-09-06T11:45:19Z
90,Classifying text with Large Language Models #openai #chatgpt #gpt4 #ai #datascience #data,oYIgGDIZcJo,210,52,"Text classification has become way easier nowadays with the help of Generative AI tools such as ChatGPT. While the trivial approach of letting the LLM provide the class directly is extremely easy, there are better ways to guarantee more reliable results to transform your business. In this video, we show three approaches:

1) The straightforward one... just asking ChatGPT to classify the text.
2) Extracting embeddings and training a traditional ML model on top of it.
3) Asking ChatGPT to explain why it thinks that's the actual class. Then, using technique number 2 to classify the explanation.

#openai #chatgpt #gpt4 #ai #datascience #data #artificialintelligence #ai #datascience #machinelearning #ml #decisionmaking #business #entrepreneurship #analytics #businessanalytics",NILG AI,2023-08-28T09:18:26Z,2023-09-06T11:45:19Z
91,KFUPM DAD: Reporting Week Activities 2023: Generative AI and Large Language Models in Academia,o9uGO6d26i4,34,2:10:26,KFUPM DAD: Reporting Week Activities 2023: Generative AI and Large Language Models in Academia,Deanship of Academic Development ,2023-08-28T08:54:23Z,2023-09-06T11:45:19Z
92,Summarize Text documents with LangChain | OpenAI | Using Large Language Model (LLM),E5bZSQ4Qjiw,116,21:28,"#artificialintelligence #gpt #langchain #openai 

In this video i am explaining how we can create Pdf documents summarization app using langchain openai wrappers and Render genereated summary on Web using Streamlit application.

LangChain is highly recommended when a longer PDF is in your hand. LangChain has played an important role in our life and is widely used in many fields besides PDF files. With it, you do not need to spend amounts of time reading, and saves you lots of time. Rather than getting a summarization of a PDF, you can also freely chat with it and have a positive interaction.

❤️ Buy me a coffee : https://www.buymeacoffee.com/rajparmar23

Blog Link :- https://thecodespace.in/multiple-pdf-summarizer-webapp-using-openai-langchain-and-streamlit/

Map Reduce CombineDocument Chain : https://python.langchain.com/docs/modules/chains/document/map_reduce
Stuffing CombineDocument Chain : https://python.langchain.com/docs/modules/chains/document/stuff
RefineCombineDocument Chain : https://python.langchain.com/docs/modules/chains/document/refine

ChatopenAI Wrapper : https://api.python.langchain.com/en/latest/chat_models/langchain.chat_models.openai.ChatOpenAI.html
OpenAI Wrapper : https://api.python.langchain.com/en/latest/llms/langchain.llms.openai.OpenAI.html?highlight=openai#langchain.llms.openai.OpenAI

Related Tags:
artificialintelligence
gpt
langchain
openai
PDFsummarization
text summarization
LangChainApp
Streamlit
documentprocessing
MapReduce
CombineDocumentChain
PDFinteraction
Streamlit
appframework
MachineLearning
DataScience
webapps
ChatOpenAI
LanchainFramework
largeLanguageModels
TiktokenTokenizer
BPEtokenizer
OpenAIlibrary
OpenAPI
PythonAPI
programming
PromptInstructions
TempfileModule
temporaryfiles
datastorage
pythondotenv
environmentvariables
TheCodeSpace
Raj Parmar",TheCodeSpace,2023-08-28T08:30:08Z,2023-09-06T11:45:19Z
93,Beyond LLMs: A Brain Inspired Architechture for AI | Prof Tom Dietterich,J4Hp2QGiHq4,530,18:36,"What if More Scaling does NOT get us to AGI?

Prof Thomas G. Dietterich discusses the skeleton of a possible path forward.

Thomas G. Dietterich is emeritus professor of computer science at Oregon State University. He is one of the pioneers of the field of machine learning. 
He served as executive editor of the journal called Machine Learning (1992–98) and helped co-found the Journal of Machine Learning Research. 

---
This work is an excerpt, edited for exposition and brevity in line with the title and description above. It was created  for educational purposes Only under the FAIR USE Doctrine. 

Follow the link Below for the original source, which covers a broader perspective.

----
Source and Credits:
Thomas G. Dietterich 
https://www.youtube.com/watch?v=cEyHsMzbZBs",Tech Stories 101,2023-08-28T07:28:11Z,2023-09-06T11:45:19Z
94,Automatically Correcting Large Language Models Surveying the Landscope of diverse self correction st,NiufabYjLPU,23,52:8,Automatically Correcting Large Language Models Surveying the Landscope of diverse self-correction strategies (UCSB 2023),mardin mardin,2023-08-28T04:23:11Z,2023-09-06T11:45:19Z
95,NanoGPT using Simpsons Data: Get Started with Large Language Models,Ty2_bR1mrBQ,188,7:56,"NanoGPT is a simple, fast repository for training/finetuning medium-sized GPTs. I recommend it to get a better handle on large language models. This video walks through using it on a Simpsons dataset. It covers why I chose nanoGPT, how I munged the Simpson dataset, how I trained my first model, and ways to keep learning.

Chapters:
00:00:00 intro
00:00:17 Why NanoGPT
00:00:52 Simpons dataset
00:01:47 Using the Google Colab notebooks
00:02:24 pull into nanogpt_simpsons repo
00:04:18 using the config files
00:05:36 training the model
00:06:12 getting predictions
00:07:16 using weights and biases for experiment management


Repo: https://github.com/rajshah4/nanoGPT_simpsons
Notebook: http://bit.ly/nanogpt_raj
━━━━━━━━━━━━━━━━━━━━━━━━━
★ Rajistics Social Media » 
● Web page: https://rajivshah.com
● LinkedIn: https://www.linkedin.com/in/rajistics/
━━━━━━━━━━━━━━━━━━━━━━━━━","Rajistics - data science, AI, and machine learning",2023-08-27T21:51:39Z,2023-09-06T11:45:19Z
96,"You Ask, I Answer: Influencing Large Language AI Models for Brand Marketing?",0kZjcDdnr8U,33,7:29,"In today's episode, Jay asks, ""How can we influence large language models to show our brands more favorably?"" To accomplish this, you need a robust PR strategy to get your brand mentioned widely across the internet. I explain how language models work and why broad exposure is key to optimizing for them. Tune in to learn more about this important emerging strategy for marketing!

Subscribe to my weekly #email newsletter:
http://www.christopherspenn.com/newsletter

Please subscribe to my YouTube channel for more #marketing and #analytics videos!
https://www.youtube.com/user/christopherspenn

Need help with your company's #data and #analytics? Let me know:
https://www.trustinsights.ai

Join my free private Slack group, Analytics for #Marketers:
https://www.trustinsights.ai/analyticsformarketers

Grab my newest book, AI for Marketers:
http://aiformarketersbook.com",Christopher Penn,2023-08-27T19:53:04Z,2023-09-06T11:45:19Z
97,WizardLM: Empowering Large Language Models to Follow Complex Instructions Explained,P0CDVRqS8iA,570,33:54,"Paper found here: https://arxiv.org/abs/2304.12244

Code release: https://github.com/nlpxucan/WizardLM",Gabriel Mongaras,2023-08-27T18:00:16Z,2023-09-06T11:45:19Z
98,AI This week - LOTS of 🤑 $$$ and New MODELS!!!,yB9iGpArGzU,4249,24:1,"00:00 Hugging Face raises $235M from investors, including Salesforce and Nvidia
02:07 Watch out, Midjourney! Ideogram launches AI image generator with impressive typography 
04:00 Seamless m4t 
05:56 CodeLlama 
08:22 Unnatural Codellama 
08:56 Phind CodeLlama 
10:27 WizardCoder 34B Python 
11:35 OpenAI Fine-Tuning 
14:13 OpenAI Scale AI Partnership for Enterprise Fine-Tuning 
15:50  A Survey on Large Language Model based Autonomous Agents 
17:47 Meta AI’s Sorry Alignment People - 
20:19 AutoGPTQ Transformers Integration - 
22:41 XAI hiring 


AI News:

1. Hugging Face raises $235M from investors, including Salesforce and Nvidia
https://techcrunch.com/2023/08/24/hugging-face-raises-235m-from-investors-including-salesforce-and-nvidia/ 
2. Watch out, Midjourney! Ideogram launches AI image generator with impressive typography https://venturebeat.com/ai/watch-out-midjourney-ideogram-launches-ai-image-generator-with-impressive-typography/ 
3. Seamless m4t https://ai.meta.com/blog/seamless-m4t/ 
4. CodeLlama https://ai.meta.com/blog/code-llama-large-language-model-coding/ 
5. Unnatural Codellama - https://huggingface.co/pharaouk/unnatural_codellama_34B
6. Phind CodeLlama - https://www.phind.com/blog/code-llama-beats-gpt4 
7. WizardCoder 34B Python - https://huggingface.co/WizardLM/WizardCoder-Python-34B-V1.0
8. OpenAI Fine-Tuning - https://openai.com/blog/gpt-3-5-turbo-fine-tuning-and-api-updates  https://twitter.com/hwchase17/status/1695466818918650182 
9. OpenAI Scale AI Partnership for Enterprise Fine-Tuning - https://openai.com/blog/openai-partners-with-scale-to-provide-support-for-enterprises-fine-tuning-models 
10. A Survey on Large Language Model based Autonomous Agents https://arxiv.org/pdf/2308.11432v1.pdf https://github.com/Paitesanshi/LLM-Agent-Survey 
11. Meta AI’s Sorry Alignment People - https://twitter.com/agikoala/status/1695125016764157988 
12. AutoGPTQ Transformers Integration - https://huggingface.co/blog/gptq-integration 
13. XAI hiring - https://twitter.com/xai/status/1695477026730479826 



❤️ If you want to support the channel ❤️
Support here:
Patreon - https://www.patreon.com/1littlecoder/
Ko-Fi - https://ko-fi.com/1littlecoder",1littlecoder,2023-08-27T16:04:29Z,2023-09-06T11:45:19Z
99,Tech Talk: IBM CTO says ChatGPT-like large language models financially unsustainable,0kuCv0kd5jk,734,3:8,"For  more:
https://www.cgtn.com/video

IBM stunned the world in 1997 when its Deep Blue computer defeated world chess champion Garry Kasparov, and its supercomputer Watson wowed the tech industry again by winning against two champions on a TV quiz show in 2011.

With ChatGPT now sparking a new round of AI revolution, how will IBM deploy its AI, or generative AI? Xie Dong, CTO at IBM Greater China Group, told CGTN that the cost is extraordinarily high for companies using ChatGPT-like large language models, so introducing targeted AI services and building models that help enterprises complete specific tasks is necessary. 

Subscribe to us on YouTube: https://goo.gl/lP12gA
Download our APP on Apple Store (iOS): https://itunes.apple.com/us/app/cctvnews-app/id922456579?l=zh&ls=1&mt=8
Download our APP on Google Play (Android): https://play.google.com/store/apps/details?id=com.imib.cctv",CGTN,2023-08-27T14:32:35Z,2023-09-06T11:45:19Z
100,Diversity Measures: Domain-Independent Proxies for Failure in Language Model Queries,BekDOLm6qBI,132,12:14,"Due to challenges such as hallucination, detecting errors in the output of a given prompt becomes an important challenge.  In this work, we introduce ""diversity measures"" that are domain independent and can be used to measure the uncertainty in the result of a language model.

Preprint: https://arxiv.org/abs/2308.11189 
Source code: https://github.com/lab-v2/diversity_measures
Lab website: https://labs.engineering.asu.edu/labv2  

About the channel:
The Neuro Symbolic Channel provides the tutorials, courses, and research results on one of the most exciting areas in artificial intelligence and machine learning.  With content originally from the AI course taught at Arizona State University, this channel brings you the latest at the intersection of symbolic methods (e.g., logic programming) and deep learning.  Learn about the latest algorithms, Python packages, and progress toward larger goals such as artificial general intelligence (AGI).",Neuro Symbolic,2023-08-27T13:02:29Z,2023-09-06T11:45:19Z
101,Reinforced Self-Training (ReST) for Language Modeling (Paper Review),Knuyalci7GY,112,5:54,"Hi there, I am Jack See, a PhD student who is working on AI models for molecular graph prediction. In this video, I will be going through a very recent paper related to RLHF of ChatGPT-like models. Enjoy yourself and leave any comments!

Paper: https:/_/arxiv.org/abs/2308.08998 (remove the underscore)

Find me on:
-Twitter: https:/_/twitter.com/JackSee47284524 (remove the underscore)
-Linkedin: https:/_/www.linkedin.com/in/jack-see-096212244/ (remove the underscore)


#ai #research #airesearch #machinelearning #deeplearning #education #chatgpt #languagemodeling #naturallanguageprocessing #reinforcementlearning #gpt4  #transformers",Jack See,2023-08-27T12:49:48Z,2023-09-06T11:45:19Z
102,"Generative AI Weekly Research Highlights | 21-27 Aug |Prompt2Model, Codellama, Graph of thoughts....",6Ue9zRJcdbY,356,2:44,"PROMPT2MODEL: Generating Deployable Models from Natural Language Instructions [https://arxiv.org/pdf/2308.12261.pdf]

Code Llama: Open Foundation Models for Code [https://arxiv.org/pdf/2308.12950.pdf]

Bridging the Gap: Deciphering Tabular Data Using Large Language Model [https://arxiv.org/pdf/2308.11891.pdf]

A Survey on Fairness in Large Language Models [https://arxiv.org/pdf/2308.10149.pdf]

Large Language Models for Software Engineering: A Systematic Literature Review [https://arxiv.org/pdf/2308.10620.pdf]

Graph of Thoughts: Solving Elaborate Problems with Large Language Models [https://arxiv.org/pdf/2308.09687.pdf]

A Survey on Large Language Model based Autonomous Agents [https://arxiv.org/pdf/2308.11432.pdf]

Use of LLMs for Illicit Purposes: Threats, Prevention Measures, and Vulnerabilities [https://arxiv.org/pdf/2308.12833.pdf]

#generativeai,#promptengineering,#largelanguagemodels,#openai,#chatgpt,#gpt4,#ai,#abcp,#prompt,#responsibleai,#promptengineer,#chatgptprompt,#anybodycanprompt,#artificialintelligence,", ABCP | Anybody Can Prompt,2023-08-27T03:29:58Z,2023-09-06T11:45:19Z
103,"How Is ChatGPT’s Behavior Changing over Time? (James Zou, PhD)",Nb2JEO2FJQo,8525,31:56,"Synthetic Intelligence Forum is excited to convene a session about ""How Is ChatGPT’s Behavior Changing over Time?"" with James Zou, PhD (Assistant Professor of Biomedical Data Science, Stanford University).

Dive deep into the evolving landscape of Generative AI and Large Language Models with Professor Zou as he explains the latest research findings about the evolving behaviours of GPT-3.5 & GPT-4.

Explore the performance variations between March 2023 and June 2023 services on an array of tasks including:

• Math problems
• Sensitive questions
• Opinion surveys
• Knowledge-intensive multi-hop queries
• Code generation
• Medical exams
• Visual reasoning

It's intriguing to note the dramatic shift in GPT-4's ability to recognize prime numbers within a mere span of three months. And that's just one of the many revelations!

Discover why GPT-3.5 outshined in math by June 2023, the reasons GPT-4 became more reserved about sensitive topics, and the occasional challenges both models faced in generating code.

Prof. Zou explains the concept of pleitropy in the context of Large Language Models and its implications for fine tuning and adapting models for specific domains and tasks.

This comprehensive overview emphasizes the importance of consistent monitoring and evaluation of Generative AI and Large Language Models.

Biography: Professor James Zou is an Assistant Professor of Biomedical Data Science and, by courtesy, of Computer Science and Electrical Engineering at Stanford University. His work focuses on making machine learning more reliable, human-compatible and statistically rigorous, with an emphasis on applications in human disease and health.

He received a Ph.D from Harvard in 2014, and was a member of Microsoft Research, a Gates Scholar at Cambridge and a Simons fellow at UC Berkeley. Professor Zou joined Stanford in 2016 and is a two-time Chan-Zuckerberg Investigator and the faculty director of the university-wide Stanford Data4Health hub. He is also a member of the Stanford AI Lab. His research is supported by the Sloan Fellowship, the NSF CAREER Award, and Google, Amazon and Adobe AI awards. 

Profiles of the host and presenter:
• Vik Pant, PhD - https://www.linkedin.com/in/vikpant
• James Zou, PhD - https://www.linkedin.com/in/james-zou-2123a4133

Web profiles of James Zou, PhD:
• Stanford University - https://profiles.stanford.edu/james-zou
• Research - https://www.james-zou.com

Join Synthetic Intelligence Forum online:
• Website - http://www.synthint.org
• LinkedIn (Page) - https://www.linkedin.com/company/synthint/
• LinkedIn (Group) - https://www.linkedin.com/groups/12092618/
• YouTube - https://www.youtube.com/c/SyntheticIntelligenceForum

Special Thanks to our Partner:
• ET Business Services",Synthetic Intelligence Forum,2023-08-27T02:59:11Z,2023-09-06T11:45:19Z
104,"Protecto LLM Proxy - Data Loss Prevention for AI and Large Language Models Such as ChatGPT, Bard",UPr-58q802M,14,1:11,,Protecto,2023-08-27T02:28:40Z,2023-09-06T11:45:19Z
105,[AUTOML23] Structural Pruning of Large Language Models via Neural Architecture Search,G_fe3limPO8,12,4:57,"Authors: Aaron Klein, Jacek Golebiowski, Xingchen Ma, Valerio Perrone, Cedric Archambeau
https://2023.automl.cc/program/accepted_papers/",AutoMLConf,2023-08-26T10:22:26Z,2023-09-06T11:45:19Z
106,[AUTOML23] Structural Pruning of Large Language Models via Neural Architecture Search Teaser,7r4WwB_6w9s,0,1:4,"Authors: Aaron Klein, Jacek Golebiowski, Xingchen Ma, Valerio Perrone, Cedric Archambeau
https://2023.automl.cc/program/accepted_papers/",AutoMLConf,2023-08-26T10:22:25Z,2023-09-06T11:45:19Z
107,[AUTOML23] Cost-Effective Hyperparameter Optimization for Large Language Model Generation Inference,xx-bXUFBa98,26,9:18,"Authors: Chi Wang, Xueqing Liu, Ahmed Hassan Awadallah
https://2023.automl.cc/program/accepted_papers/",AutoMLConf,2023-08-26T10:22:02Z,2023-09-06T11:45:19Z
108,02: Adaptation – Large Language Models (NUS CS6101 NUS.WING),SD1zRmmK_QY,80,2:9:31,"00:00 Start
01:20 Week 01 Kahoot!
16:20 LECTURE START - Why Adapt Language Models?
39:10 Probing
1:10:00 Fine-Tuning (Zero-Shot)
1:37:50 Fine-Tuning (Alignment)
1:59:30 Lightweight Fine-Tuning (Video initially not shared properly, see link. https://drive.google.com/file/d/1wfbEPUKWkH5i2jf8wWeStVH-qpc2dCAg/view)

Slides at http://bit.ly/cs6101-t2310-w02
Scribe Notes at http://bit.ly/cs6101-t2310-w02-scribe
Video at http://bit.ly/cs6101-t2310-w02-yt",Web IR / NLP Group at NUS,2023-08-25T22:16:05Z,2023-09-06T11:45:19Z
109,Unlocking the Potential of Large Language Models with ComfyUI | Advanced Tutorial,asMgkwTDAQQ,595,7:20,"In today's video, we'll learn how to harness the power of Large Language Models using ComfyUI. We'll explore loading models, generating stories, extracting tags, and creating related images. We'll utilize the ComfyUI-N-Nodes and ComfyUI-Custom-Scripts libraries to enhance ComfyUI's capabilities. The process involves installing dependencies, configuring GPT nodes, utilizing custom prompts, and much more


*** Links from the Video Tutorial ***
ComfyUI-N-Nodes for GPT support: https://github.com/Nuked88/ComfyUI-N-Nodes
ComfyUI-Custom-Scripts by pythongosssss : https://github.com/pythongosssss/ComfyUI-Custom-Scripts
CUDA Download: https://developer.nvidia.com/cuda-downloads?target_os=Windows&target_arch=x86_64
W64devkit : https://github.com/skeeto/w64devkit/releases
Bin Models: https://huggingface.co/TheBloke

Command for install llama-cpp-python cpu only ..\..\python_embeded\python.exe -s -m pip install llama-cpp-python",DreamingAI,2023-08-25T22:00:01Z,2023-09-06T11:45:19Z
